date,type
2018-03-22,rate_change_proxy
2018-06-14,rate_change_proxy
2018-09-27,rate_change_proxy
2018-12-20,rate_change_proxy
2019-08-01,rate_change_proxy
2019-09-19,rate_change_proxy
2019-10-31,rate_change_proxy
2020-03-04,rate_change_proxy
2020-03-16,rate_change_proxy
2022-03-17,rate_change_proxy
2022-05-05,rate_change_proxy
2022-06-16,rate_change_proxy
2022-07-28,rate_change_proxy
2022-09-22,rate_change_proxy
2022-11-03,rate_change_proxy
2022-12-15,rate_change_proxy
2023-02-02,rate_change_proxy
2023-03-23,rate_change_proxy
2023-05-04,rate_change_proxy
2023-07-27,rate_change_proxy
2024-09-19,rate_change_proxy
2024-11-08,rate_change_proxy
2024-12-19,rate_change_proxy
