date,news_count,news_sent_mean,news_sent_std,news_sent_pos_ratio,news_sent_neg_ratio,news_sent_ema7
2024-11-01,50,0.014435786435786436,0.04226476794807405,0.16,0.02,0.014435786435786436
2024-11-02,50,0.046757575757575755,0.16073008647383963,0.14,0.02,0.022516233766233767
2024-11-03,50,-0.016398268398268395,0.11275409772531643,0.04,0.08,0.012787608225108226
2024-11-04,50,0.06477436267436268,0.24618507777355145,0.24,0.18,0.02578429683742184
2024-11-05,50,0.015976623376623374,0.09756520835723402,0.12,0.14,0.02333237847222222
2024-11-06,50,0.06181515151515151,0.16732888410117797,0.2,0.0,0.032953071732954545
2024-11-07,50,0.08071085858585858,0.19286507059239427,0.28,0.06,0.04489251844618056
2024-11-08,50,0.135003367003367,0.31420058886693153,0.3,0.04,0.06742023058547716
2024-11-09,50,0.03256060606060606,0.06959651687188007,0.22,0.02,0.05870532445425939
2024-11-10,50,0.01802597402597403,0.10352185517188657,0.08,0.1,0.04853548684718805
2024-11-11,50,0.0897939393939394,0.14282645177272713,0.46,0.02,0.058850099983875886
2024-11-12,50,0.006489898989898987,0.09965858780892378,0.08,0.14,0.04576004973538166
2024-11-13,50,-0.0018333333333333357,0.12016426970655962,0.14,0.18,0.033861703968202914
2024-11-14,50,0.06771659451659452,0.20897555539531493,0.26,0.08,0.042325426605300816
2024-11-15,50,0.07636363636363637,0.1767042815613997,0.3,0.04,0.05083497904488471
2024-11-16,50,0.035789321789321794,0.09272760923612565,0.2,0.02,0.04707356473099398
2024-11-17,50,0.030028860028860026,0.16586610325620993,0.12,0.06,0.04281238855546049
2024-11-18,50,0.05294723424723425,0.1302396211243836,0.26,0.08,0.04534609997840393
2024-11-19,50,0.04459184704184705,0.15169839386427228,0.28,0.16,0.045157536744264704
2024-11-20,50,-0.003247763347763346,0.13987928166565342,0.16,0.16,0.033056211721257694
2024-11-21,50,0.019620057720057718,0.16099878374363727,0.24,0.16,0.0296971732209577
2024-11-22,50,0.02921414141414142,0.195358552670781,0.16,0.08,0.029576415269253628
2024-11-23,50,0.03190909090909091,0.09820597345956353,0.14,0.02,0.030159584179212946
2024-11-24,50,0.05837878787878788,0.18048440139249017,0.18,0.0,0.037214385104106684
2024-11-25,50,0.10832121212121212,0.24076855361435817,0.36,0.06,0.054991091858383044
2024-11-26,50,0.06605757575757576,0.1956590104325183,0.18,0.04,0.05775771283318122
2024-11-27,50,0.09566363636363637,0.23652461237028277,0.24,0.06,0.067234193715795
2024-11-28,50,0.13226154401154402,0.32472617924017594,0.34,0.14,0.08349103128973226
2024-11-29,50,0.02410252525252525,0.28653300877221743,0.24,0.2,0.06864390478043052
2024-11-30,50,0.006186507936507937,0.1643024380434275,0.16,0.12,0.05302955556944987
2024-12-01,50,0.04501695526695527,0.10858680964488844,0.22,0.06,0.05102640549382621
